Fecha,Referencia,Concepto_Banco,Retiro,Deposito
2024-01-01,REF-1001,Saldo Inicial,0.00,50000.00
2024-01-03,REF-1002,Cheque cobrado camara,2500.00,0.00
2024-01-04,REF-1003,Deposito Ventanilla,0.00,1500.00
2024-01-06,REF-1004,Transferencia Interbancaria,800.00,0.00
2024-01-07,REF-1005,Pago Servicios,12000.00,0.00
2024-01-09,REF-1006,Deposito TEF,0.00,3200.00
2024-01-11,REF-1007,Compra POS,450.00,0.00
2024-01-13,REF-1008,Transferencia Enviada,1200.00,0.00
2024-01-16,REF-1009,Deposito Salvo Buen Cobro,0.00,5600.00
2024-01-17,REF-1010,Pago Domiciliado,2300.00,0.00
2024-01-19,REF-1011,Dispersion Nomina,25000.00,0.00
2024-01-20,REF-1012,Abono Cuenta,0.00,890.00
2024-01-21,REF-1013,Compra POS Gasolina,1100.00,0.00
2024-01-23,REF-1014,Transferencia Recibida,0.00,14500.00
2024-01-24,REF-1015,Cargo Automatico Seguro,3400.00,0.00
2024-01-26,REF-1016,Venta E-commerce,0.00,2100.00
2024-01-27,REF-1017,Cheque Pagado,6700.00,0.00
2024-01-29,REF-1018,Retiro Cajero,1500.00,0.00
2024-01-30,REF-1019,Deposito Cheque,0.00,4200.00
2024-01-31,REF-1020,Cargo Recurrente,500.00,0.00
2024-02-02,REF-1021,Cheque cobrado camara,2500.00,0.00
2024-02-03,REF-1022,Deposito Ventanilla,0.00,1500.00
2024-02-04,REF-1023,Transferencia Interbancaria,800.00,0.00
2024-02-05,REF-1024,Deposito TEF,0.00,3200.00
2024-02-06,REF-1025,Compra POS,450.00,0.00
2024-02-07,REF-1026,Transferencia Enviada,1200.00,0.00
2024-02-08,REF-1027,Deposito Salvo Buen Cobro,0.00,5600.00
2024-02-09,REF-1028,Pago Domiciliado,2300.00,0.00
2024-02-10,REF-1029,Dispersion Nomina,25000.00,0.00
2024-02-11,REF-1030,Abono Cuenta,0.00,890.00
2024-02-12,REF-1031,Compra POS Gasolina,1100.00,0.00
2024-02-13,REF-1032,Transferencia Recibida,0.00,14500.00
2024-02-14,REF-1033,Cargo Automatico Seguro,3400.00,0.00
