Fecha,Referencia,Beneficiario,Cargo,Abono
2024-01-01,REF-1001,Apertura de Cuenta,50000.00,0.00
2024-01-02,REF-1002,Proveedor Papeleria S.A.,0.00,2500.00
2024-01-03,REF-1003,Cliente Juan Perez,1500.00,0.00
2024-01-05,REF-1004,Servicios de Limpieza,0.00,800.00
2024-01-06,REF-1005,Pago Renta Oficina,0.00,12000.00
2024-01-08,REF-1006,Venta de Producto A,3200.00,0.00
2024-01-10,REF-1007,Compra Insumos Cafe,0.00,450.00
2024-01-12,REF-1008,Mantenimiento PC,0.00,1200.00
2024-01-15,REF-1009,Cliente Empresa X,5600.00,0.00
2024-01-16,REF-1010,Pago Luz CFE,0.00,2300.00
2024-01-18,REF-1011,Nomina Quincenal,0.00,25000.00
2024-01-19,REF-1012,Venta Mostrador,890.00,0.00
2024-01-20,REF-1013,Gasolinera Norte,0.00,1100.00
2024-01-22,REF-1014,Cliente Corporativo Y,14500.00,0.00
2024-01-23,REF-1015,Seguro de Auto,0.00,3400.00
2024-01-25,REF-1016,Venta Online #44,2100.00,0.00
2024-01-26,REF-1017,Proveedor Muebles,0.00,6700.00
2024-01-28,REF-1018,Reembolso Gastos Viaje,0.00,1500.00
2024-01-29,REF-1019,Cliente Z,4200.00,0.00
2024-01-30,REF-1020,Suscripcion Software,0.00,500.00
2024-02-01,REF-1021,Proveedor Papeleria S.A.,0.00,2500.00
2024-02-02,REF-1022,Cliente Juan Perez,1500.00,0.00
2024-02-03,REF-1023,Servicios de Limpieza,0.00,800.00
2024-02-04,REF-1024,Venta de Producto A,3200.00,0.00
2024-02-05,REF-1025,Compra Insumos Cafe,0.00,450.00
2024-02-06,REF-1026,Mantenimiento PC,0.00,1200.00
2024-02-07,REF-1027,Cliente Empresa X,5600.00,0.00
2024-02-08,REF-1028,Pago Luz CFE,0.00,2300.00
2024-02-09,REF-1029,Nomina Quincenal,0.00,25000.00
2024-02-10,REF-1030,Venta Mostrador,890.00,0.00
2024-02-11,REF-1031,Gasolinera Norte,0.00,1100.00
2024-02-12,REF-1032,Cliente Corporativo Y,14500.00,0.00
2024-02-13,REF-1033,Seguro de Auto,0.00,3400.00
2024-02-14,REF-1034,Venta Online #44,2100.00,0.00
2024-02-15,REF-1035,Proveedor Muebles,0.00,6700.00
2024-02-16,REF-1036,Reembolso Gastos Viaje,0.00,1500.00
2024-02-17,REF-1037,Cliente Z,4200.00,0.00
2024-02-18,REF-1038,Suscripcion Software,0.00,500.00
2024-02-19,REF-1039,Proveedor Papeleria S.A.,0.00,2500.00
2024-02-20,REF-1040,Cliente Juan Perez,1500.00,0.00
2024-02-21,REF-1041,Servicios de Limpieza,0.00,800.00
2024-02-22,REF-1042,Venta de Producto A,3200.00,0.00
2024-02-23,REF-1043,Compra Insumos Cafe,0.00,450.00
2024-02-24,REF-1044,Mantenimiento PC,0.00,1200.00
2024-02-25,REF-1045,Cliente Empresa X,5600.00,0.00
2024-02-26,REF-1046,Pago Luz CFE,0.00,2300.00
